7.12500      7.37500     0.206160    0.0823727
7.37500      7.62500     0.212605    0.0849478
7.62500      7.87500     0.200563    0.0801363
7.87500      8.12500     0.148489    0.0593298
8.12500      8.37500     0.110683    0.0442243
8.37500      8.62500    0.0722465    0.0288666
8.62500      8.87500    0.0546873    0.0137022
8.87500      9.12500    0.0418812   0.00981661
9.12500      9.37500    0.0325495   0.00822854
9.37500      9.62500    0.0252171   0.00486863
9.62500      9.87500    0.0210288   0.00436372
9.87500      10.1250    0.0185282   0.00318079
10.1250      10.3750    0.0173574   0.00238067
10.3750      10.6250    0.0149567   0.00199062
10.6250      10.8750    0.0106162   0.00198198
10.8750      11.1250   0.00499574   0.00105713
11.1250      11.3750   0.00140553  0.000420906
11.3750      11.6250  0.000137310  0.000102325
11.6250      11.8750  1.23598e-05  9.27732e-06
11.8750      12.1250  4.32500e-07  1.60186e-07
