2.2 -0.74416 0.19 0.19
0.2 -1.75 0.13 0.13
0.47 -1.62 0.13 0.13
0.75 -1.41 0.13 0.13
1.1 -1.25 0.17 0.17
0.1 -2.27 0.13 0.13
0.3 -1.75 0.13 0.13
0.5 -1.63 0.13 0.13
0.7 -1.37 0.13 0.13
0.9 -1.33 0.17 0.17
1.1 -1.15 0.17 0.17
1.3 -1.05 0.17 0.17
1.5 -0.93 0.17 0.17
1.7 -1 0.19 0.19
1.9 -1.05 0.19 0.19
2.25 -1.23 0.19 0.19
2.75 -1.23 0.19 0.19
3.25 -1.45 0.27 0.27
3.8 -1.95 0.27 0.27
0.75 -1.22012189825617 0.13 0.13
1.25 -1.15361632918473 0.17 0.17
2 -1.02361632918473 0.19 0.19
3 -1.0787927454597 0.27 0.27
3.8 -1.31 0.27 0.27
5.0 -1.71 0.27 0.27
5.9 -1.92 0.27 0.27
6.8 -2.14 0.27 0.27
8.0 -2.37 0.27 0.27
0.3 -1.72124639904717 0.13 0.13
0.5 -1.60205999132796 0.13 0.13
0.7 -1.36653154442041 0.13 0.13
0.9 -1.23657200643706 0.17 0.17
1.1 -1.13667713987954 0.17 0.17
1.4 -1.15490195998574 0.17 0.17
1.8 -0.924453038607469 0.19 0.19
2.25 -0.939302159646388 0.19 0.19
2.75 -0.756961951313705 0.19 0.19
0.025 -2.03 0.13 0.13
0.13 -1.8 0.13 0.13
0.28 -1.63 0.13 0.13
0.44 -1.46 0.13 0.13
0.58 -1.27 0.13 0.13
0.87 -1.12 0.13 0.13
1.17 -0.81 0.17 0.17
2.2 -0.867 0.19 0.19
1.4 -0.753327666658611 0.17 0.17
0.1 -1.96955107862173 0.13 0.13
0.5 -1.38708664335714 0.13 0.13
1 -1.2 0.17 0.17
2 -0.898970004336019 0.19 0.19
3 -1.2 0.27 0.27
4 -1.42184874961636 0.27 0.27
5 -1.59794000867204 0.27 0.27
4 -0.9 0.27 0.27
4.7 -1.3 0.27 0.27
0.1 -1.84361632918473 0.13 0.13
2 -1.07361632918473 0.19 0.19
0.05 -1.89119628734557 0.13 0.13
0.8 -1.27620641193895 0.13 0.13
0.5 -1.75 0.13 0.13
1.0 -1.27 0.17 0.17
1.5 -1.32 0.17 0.17
2 -1.23 0.19 0.19
3 -1.1 0.27 0.27
4 -1.3 0.27 0.27
5 -1.8 0.27 0.27
0.3 -1.7 0.13 0.13
0.5 -1.55 0.13 0.13
0.7 -1.2 0.13 0.13
0.9 -1.15 0.17 0.17
0.1 -1.88 0.13 0.13
0.3 -1.67 0.13 0.13
0.5 -1.57 0.13 0.13
0.7 -1.38 0.13 0.13
0.9 -1.13 0.17 0.17
1.1 -1.08 0.17 0.17
1.4 -1.08 0.17 0.17
2.15 -0.85 0.19 0.19
3 -1.09 0.27 0.27
4 -1.6 0.27 0.27
