8.740196 -1.638294 0.018000 0.018000
8.840196 -1.659294 0.017000 0.017000
8.940196 -1.683294 0.015000 0.015000
9.040196 -1.705294 0.014000 0.014000
9.140196 -1.742294 0.013000 0.013000
9.240196 -1.772294 0.012000 0.012000
9.340196 -1.787294 0.011000 0.011000
9.440196 -1.796294 0.010000 0.010000
9.540196 -1.808294 0.009000 0.009000
9.640196 -1.815294 0.008000 0.008000
9.740196 -1.818294 0.008000 0.008000
9.840196 -1.827294 0.007000 0.007000
9.940196 -1.835294 0.006000 0.006000
10.040196 -1.858294 0.006000 0.006000
10.140196 -1.896294 0.006000 0.006000
10.240196 -1.944294 0.005000 0.005000
10.340196 -2.011294 0.005000 0.005000
10.440196 -2.098294 0.005000 0.005000
10.540196 -2.199294 0.005000 0.005000
10.640196 -2.325294 0.005000 0.005000
10.740196 -2.480294 0.005000 0.005000
10.840196 -2.662294 0.006000 0.006000
10.940196 -2.864294 0.006000 0.006000
11.040196 -3.086294 0.007000 0.007000
11.140196 -3.330294 0.009000 0.009000
11.240196 -3.602294 0.011000 0.011000
11.340196 -3.895294 0.013000 0.013000
11.440196 -4.216294 0.017000 0.017000
11.540196 -4.614294 0.023000 0.023000
11.640196 -5.035294 0.036000 0.036000
11.740196 -5.608294 0.054000 0.054000
11.840196 -6.320294 0.102000 0.102000
