# Morphological fractions of Ell galaxies (Conselice 2006)
# StellarMass[M_Sun] Fraction Err_Fraction
11.75  0.925 0.079
11.25  0.631 0.039
10.81  0.421 0.031
10.33  0.288 0.038
9.83   0.218 0.053
9.33   0.136 0.077
8.86   0.191 0.095
8.33   0.127 0.144

