# Morphological fractions of Sp galaxies (Conselice 2006)
# StellarMass[M_Sun] Fraction Err_Fraction
11.65 0.075 0.079
11.15 0.372 0.039
10.71 0.574 0.030
10.23 0.692 0.039
9.74  0.682 0.052
9.24  0.526 0.077
8.76  0.236 0.096
8.23  0.207 0.160
