#   M        m(M)      sigma+      sigma-
3.801893e+11	7.569800e+09	7.531381e+09	7.590951e+09
4.073800e+11	8.496477e+09	8.482491e+09	8.495279e+09
4.365162e+11	9.512834e+09	9.528637e+09	9.484749e+09
4.677352e+11	1.062262e+10	1.067389e+10	1.056286e+10
5.011870e+11	1.182894e+10	1.192156e+10	1.173256e+10
5.370312e+11	1.313399e+10	1.327387e+10	1.299601e+10
5.754402e+11	1.453898e+10	1.473193e+10	1.435453e+10
6.165949e+11	1.604393e+10	1.629540e+10	1.580838e+10
6.606930e+11	1.764780e+10	1.796270e+10	1.735697e+10
7.079464e+11	1.934842e+10	1.973092e+10	1.899870e+10
7.585778e+11	2.114232e+10	2.159561e+10	2.073082e+10
8.128302e+11	2.302513e+10	2.355129e+10	2.254984e+10
8.709647e+11	2.499157e+10	2.559143e+10	2.445146e+10
9.332549e+11	2.703543e+10	2.770848e+10	2.643052e+10
1.000000e+12	2.915013e+10	2.989448e+10	2.848152e+10
1.071519e+12	3.132869e+10	3.214111e+10	3.059856e+10
1.148152e+12	3.356401e+10	3.443998e+10	3.277556e+10
1.230269e+12	3.584919e+10	3.678303e+10	3.500658e+10
1.318256e+12	3.817738e+10	3.916241e+10	3.728563e+10
1.412536e+12	4.054245e+10	4.157116e+10	3.960730e+10
1.513562e+12	4.293888e+10	4.400310e+10	4.196664e+10
1.621810e+12	4.536163e+10	4.645276e+10	4.435907e+10
1.737800e+12	4.780670e+10	4.891587e+10	4.678087e+10
1.862089e+12	5.027090e+10	5.138913e+10	4.922903e+10
1.995263e+12	5.275164e+10	5.387000e+10	5.170100e+10
2.137962e+12	5.524736e+10	5.635709e+10	5.419518e+10
2.290866e+12	5.775720e+10	5.884979e+10	5.671055e+10
2.454711e+12	6.028106e+10	6.134832e+10	5.924681e+10
2.630268e+12	6.281924e+10	6.385337e+10	6.180403e+10
2.818382e+12	6.537286e+10	6.636645e+10	6.438303e+10
3.019948e+12	6.794344e+10	6.888948e+10	6.698505e+10
3.235938e+12	7.053300e+10	7.142487e+10	6.961181e+10
3.467368e+12	7.314366e+10	7.397510e+10	7.226514e+10
3.715350e+12	7.577807e+10	7.654318e+10	7.494743e+10
3.981075e+12	7.843913e+10	7.913230e+10	7.766130e+10
4.265796e+12	8.112964e+10	8.174553e+10	8.040936e+10
4.570880e+12	8.385280e+10	8.438630e+10	8.319463e+10
4.897794e+12	8.661194e+10	8.705810e+10	8.602024e+10
5.248078e+12	8.941018e+10	8.976418e+10	8.888920e+10
5.623413e+12	9.225095e+10	9.250809e+10	9.180484e+10
6.025592e+12	9.513760e+10	9.529322e+10	9.477047e+10
6.456534e+12	9.807353e+10	9.812301e+10	9.778944e+10
6.918312e+12	1.010622e+11	1.010009e+11	1.008653e+11
7.413100e+12	1.041069e+11	1.039301e+11	1.040011e+11
7.943275e+12	1.072110e+11	1.069139e+11	1.072005e+11
8.511386e+12	1.103780e+11	1.099557e+11	1.104671e+11
9.120109e+12	1.136111e+11	1.130586e+11	1.138040e+11
9.772367e+12	1.169136e+11	1.162258e+11	1.172148e+11
1.047130e+13	1.202891e+11	1.194606e+11	1.207031e+11
1.122019e+13	1.237407e+11	1.227659e+11	1.242722e+11
1.202264e+13	1.272717e+11	1.261450e+11	1.279256e+11
1.288251e+13	1.308856e+11	1.296009e+11	1.316670e+11
1.380382e+13	1.345855e+11	1.331366e+11	1.354996e+11
1.479109e+13	1.383750e+11	1.367555e+11	1.394274e+11
1.584893e+13	1.422573e+11	1.404603e+11	1.434536e+11
1.698242e+13	1.462357e+11	1.442544e+11	1.475820e+11
1.819702e+13	1.503139e+11	1.481408e+11	1.518163e+11
1.949844e+13	1.544951e+11	1.521224e+11	1.561601e+11
2.089295e+13	1.587827e+11	1.562026e+11	1.606171e+11
2.238723e+13	1.631805e+11	1.603847e+11	1.651914e+11
2.398834e+13	1.676918e+11	1.646715e+11	1.698864e+11
2.570395e+13	1.723203e+11	1.690665e+11	1.747064e+11
2.754232e+13	1.770697e+11	1.735731e+11	1.796553e+11
2.951205e+13	1.819435e+11	1.781942e+11	1.847369e+11
3.162278e+13	1.869460e+11	1.829338e+11	1.899558e+11
3.388447e+13	1.920807e+11	1.877951e+11	1.953161e+11
3.630776e+13	1.973513e+11	1.927812e+11	2.008216e+11
3.890453e+13	2.027624e+11	1.978963e+11	2.064775e+11
4.168693e+13	2.083177e+11	2.031437e+11	2.122878e+11
4.466832e+13	2.140214e+11	2.085272e+11	2.182571e+11
4.786304e+13	2.198782e+11	2.140507e+11	2.243905e+11
5.128614e+13	2.258919e+11	2.197179e+11	2.306923e+11
5.495406e+13	2.320672e+11	2.255329e+11	2.371677e+11
5.888443e+13	2.384089e+11	2.314998e+11	2.438219e+11
6.309576e+13	2.449214e+11	2.376225e+11	2.506597e+11
6.760828e+13	2.516096e+11	2.439055e+11	2.576867e+11
7.244370e+13	2.584787e+11	2.503532e+11	2.649085e+11
7.762460e+13	2.655330e+11	2.569695e+11	2.723299e+11
8.317640e+13	2.727786e+11	2.637598e+11	2.799577e+11
8.912505e+13	2.802202e+11	2.707281e+11	2.877970e+11
9.549916e+13	2.878634e+11	2.778794e+11	2.958541e+11
1.023293e+14	2.957141e+11	2.852189e+11	3.041354e+11
1.096478e+14	3.037774e+11	2.927511e+11	3.126468e+11
1.174897e+14	3.120595e+11	3.004814e+11	3.213951e+11
1.258927e+14	3.205668e+11	3.084154e+11	3.303871e+11
1.348963e+14	3.293047e+11	3.165579e+11	3.396294e+11
1.445439e+14	3.382800e+11	3.249147e+11	3.491291e+11
1.548819e+14	3.474996e+11	3.334919e+11	3.588939e+11
1.659584e+14	3.569690e+11	3.422945e+11	3.689303e+11
1.778279e+14	3.666966e+11	3.513295e+11	3.792472e+11
1.905464e+14	3.766886e+11	3.606026e+11	3.898519e+11
2.041736e+14	3.869517e+11	3.701194e+11	4.007517e+11
2.187762e+14	3.974947e+11	3.798877e+11	4.119564e+11
2.344228e+14	4.083241e+11	3.899131e+11	4.234734e+11
2.511884e+14	4.194481e+11	4.002029e+11	4.353118e+11
2.691537e+14	4.308752e+11	4.107642e+11	4.474811e+11
2.884032e+14	4.426129e+11	4.216037e+11	4.599897e+11
3.090294e+14	4.546701e+11	4.327290e+11	4.728476e+11
3.311315e+14	4.670558e+11	4.441481e+11	4.860650e+11
3.548136e+14	4.797783e+11	4.558680e+11	4.996510e+11
3.801893e+14	4.928470e+11	4.678969e+11	5.136165e+11
4.073808e+14	5.062720e+11	4.802434e+11	5.279724e+11
4.365152e+14	5.200616e+11	4.929149e+11	5.427284e+11
4.677352e+14	5.342275e+11	5.059213e+11	5.578975e+11
5.011870e+14	5.487786e+11	5.192705e+11	5.734899e+11
5.370312e+14	5.637259e+11	5.329717e+11	5.895179e+11
5.754403e+14	5.790807e+11	5.470349e+11	6.059942e+11
6.165950e+14	5.948532e+11	5.614685e+11	6.229302e+11
6.606930e+14	6.110550e+11	5.762830e+11	6.403393e+11
7.079464e+14	6.276986e+11	5.914887e+11	6.582355e+11
7.585778e+14	6.447949e+11	6.070950e+11	6.766310e+11
8.128302e+14	6.623568e+11	6.231131e+11	6.955406e+11
8.709647e+14	6.803974e+11	6.395544e+11	7.149791e+11
9.332528e+14	6.989282e+11	6.564282e+11	7.349594e+11
